fecha,caja_neta,consenso_score,severidad,metodos_detectores,if_detectado,zscore_detectado,iqr_detectado,benford_detectado,temporal_detectado
2024-03-08,18940.59796689543,0.0,,[],False,False,False,False,False
2024-03-09,10730.878980259753,0.25,medio,['Temporal'],False,False,False,False,True
2024-03-10,-4606.119126202728,0.25,medio,['Temporal'],False,False,False,False,True
2024-03-11,7940.504868558095,0.15,bajo,['Benford'],False,False,False,True,False
2024-03-12,3459.850123945147,0.0,,[],False,False,False,False,False
2024-03-13,16240.568500417008,0.0,,[],False,False,False,False,False
2024-03-14,21674.36416903298,0.0,,[],False,False,False,False,False
2024-03-15,-178689.07776634995,0.85,crítico,"['Isolation Forest', 'Z-score', 'IQR', 'Temporal']",True,True,True,False,True
2024-03-16,12201.968710765635,0.55,alto,"['Isolation Forest', 'Temporal']",True,False,False,False,True
2024-03-17,7237.807628738581,0.7,crítico,"['Isolation Forest', 'Benford', 'Temporal']",True,False,False,True,True
2024-03-18,26604.674912878196,0.3,medio,['Isolation Forest'],True,False,False,False,False
2024-03-19,16076.531816741553,0.3,medio,['Isolation Forest'],True,False,False,False,False
2024-03-20,14178.811701265033,0.3,medio,['Isolation Forest'],True,False,False,False,False
2024-03-21,8748.515382694808,0.44999999999999996,medio,"['Isolation Forest', 'Benford']",True,False,False,True,False
2024-03-22,6435.9743405357585,0.44999999999999996,medio,"['Isolation Forest', 'Benford']",True,False,False,True,False
2024-03-23,1976.8939026667686,0.25,medio,['Temporal'],False,False,False,False,True
2024-03-24,3820.4177007234102,0.25,medio,['Temporal'],False,False,False,False,True
2024-03-25,18299.67769771512,0.0,,[],False,False,False,False,False
2024-03-26,26565.16702751889,0.0,,[],False,False,False,False,False
2024-03-27,17156.40996090073,0.0,,[],False,False,False,False,False
2024-03-28,30312.418962356707,0.0,,[],False,False,False,False,False
2024-03-29,35813.27935890772,0.0,,[],False,False,False,False,False
2024-03-30,18299.67769771512,0.25,medio,['Temporal'],False,False,False,False,True
2024-03-31,-6991.056727420713,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-04-01,23106.769475972014,0.0,,[],False,False,False,False,False
2024-04-02,-107655.64931228755,0.85,crítico,"['Isolation Forest', 'Z-score', 'IQR', 'Temporal']",True,True,True,False,True
2024-04-03,13179.930948306508,0.55,alto,"['Isolation Forest', 'Temporal']",True,False,False,False,True
2024-04-04,5626.467588555664,0.15,bajo,['Benford'],False,False,False,True,False
2024-04-05,14060.927878629322,0.0,,[],False,False,False,False,False
2024-04-06,4082.310424129133,0.25,medio,['Temporal'],False,False,False,False,True
2024-04-07,944.2661467964426,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-04-08,17944.039265228123,0.0,,[],False,False,False,False,False
2024-04-09,14551.409572025463,0.0,,[],False,False,False,False,False
2024-04-10,19512.503472045664,0.0,,[],False,False,False,False,False
2024-04-11,28551.034115570903,0.0,,[],False,False,False,False,False
2024-04-12,18164.965229743226,0.0,,[],False,False,False,False,False
2024-04-13,10594.318069500681,0.25,medio,['Temporal'],False,False,False,False,True
2024-04-14,-5673.666463073154,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-04-15,2449.667635624224,0.0,,[],False,False,False,False,False
2024-04-16,6486.047538826671,0.15,bajo,['Benford'],False,False,False,True,False
2024-04-17,26564.223864164513,0.0,,[],False,False,False,False,False
2024-04-18,29065.248983921603,0.0,,[],False,False,False,False,False
2024-04-19,15995.046530498548,0.0,,[],False,False,False,False,False
2024-04-20,14605.918954597812,0.25,medio,['Temporal'],False,False,False,False,True
2024-04-21,10084.72628398805,0.25,medio,['Temporal'],False,False,False,False,True
2024-04-22,-11246.490972805193,0.0,,[],False,False,False,False,False
2024-04-23,5833.712531161684,0.15,bajo,['Benford'],False,False,False,True,False
2024-04-24,32598.828788662035,0.0,,[],False,False,False,False,False
2024-04-25,27075.40324033035,0.0,,[],False,False,False,False,False
2024-04-26,30882.991895017938,0.0,,[],False,False,False,False,False
2024-04-27,-137027.6538517315,0.85,crítico,"['Isolation Forest', 'Z-score', 'IQR', 'Temporal']",True,True,True,False,True
2024-04-28,20715.531389917225,0.55,alto,"['Isolation Forest', 'Temporal']",True,False,False,False,True
2024-04-29,17934.570637577242,0.0,,[],False,False,False,False,False
2024-04-30,-3869.6239843296935,0.0,,[],False,False,False,False,False
2024-05-01,18217.843778336905,0.0,,[],False,False,False,False,False
2024-05-02,8356.311361256921,0.15,bajo,['Benford'],False,False,False,True,False
2024-05-03,26685.377773160923,0.0,,[],False,False,False,False,False
2024-05-04,7139.625545560586,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-05-05,7630.207538842795,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-05-06,29509.598014762836,0.0,,[],False,False,False,False,False
2024-05-07,2358.9398209213614,0.0,,[],False,False,False,False,False
2024-05-08,8028.616898343091,0.15,bajo,['Benford'],False,False,False,True,False
2024-05-09,5876.737170016131,0.15,bajo,['Benford'],False,False,False,True,False
2024-05-10,7895.0331448574725,0.15,bajo,['Benford'],False,False,False,True,False
2024-05-11,-2795.0453572081024,0.25,medio,['Temporal'],False,False,False,False,True
2024-05-12,662.0049201582151,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-05-13,20583.350158780977,0.0,,[],False,False,False,False,False
2024-05-14,337.79535913576547,0.0,,[],False,False,False,False,False
2024-05-15,-13439.582340851819,0.0,,[],False,False,False,False,False
2024-05-16,-112812.63885964535,0.85,crítico,"['Isolation Forest', 'Z-score', 'IQR', 'Temporal']",True,True,True,False,True
2024-05-17,-50332.69400298373,0.6,alto,"['Isolation Forest', 'IQR', 'Benford']",True,False,True,True,False
2024-05-18,20154.98944669909,0.55,alto,"['Isolation Forest', 'Temporal']",True,False,False,False,True
2024-05-19,24841.442692783057,0.25,medio,['Temporal'],False,False,False,False,True
2024-05-20,18824.316157670026,0.0,,[],False,False,False,False,False
2024-05-21,7644.665025077149,0.15,bajo,['Benford'],False,False,False,True,False
2024-05-22,3752.402003909767,0.0,,[],False,False,False,False,False
2024-05-23,17107.39709534745,0.3,medio,['Isolation Forest'],True,False,False,False,False
2024-05-24,10037.086904725053,0.0,,[],False,False,False,False,False
2024-05-25,1505.9191444611934,0.25,medio,['Temporal'],False,False,False,False,True
2024-05-26,-5349.696413435777,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-05-27,25898.26431949261,0.0,,[],False,False,False,False,False
2024-05-28,32674.46198058105,0.0,,[],False,False,False,False,False
2024-05-29,19961.94323074729,0.0,,[],False,False,False,False,False
2024-05-30,13056.975426594472,0.0,,[],False,False,False,False,False
2024-05-31,541.1919426016175,0.15,bajo,['Benford'],False,False,False,True,False
2024-06-01,-6289.070454879064,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-06-02,-3696.3013027485904,0.25,medio,['Temporal'],False,False,False,False,True
2024-06-03,-64678.02774740037,0.6,alto,"['Isolation Forest', 'IQR', 'Benford']",True,False,True,True,False
2024-06-04,43028.077662863885,0.25,medio,['Temporal'],False,False,False,False,True
2024-06-05,39803.75245840416,0.0,,[],False,False,False,False,False
2024-06-06,27196.419383694258,0.0,,[],False,False,False,False,False
2024-06-07,14910.846787921582,0.0,,[],False,False,False,False,False
2024-06-08,-8132.047825662572,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-06-09,-1872.5161778574693,0.25,medio,['Temporal'],False,False,False,False,True
2024-06-10,21448.529838106406,0.0,,[],False,False,False,False,False
2024-06-11,7751.266477006182,0.15,bajo,['Benford'],False,False,False,True,False
2024-06-12,-1804.72985876022,0.0,,[],False,False,False,False,False
2024-06-13,-120658.71380052244,0.85,crítico,"['Isolation Forest', 'Z-score', 'IQR', 'Temporal']",True,True,True,False,True
2024-06-14,18083.72075436219,0.55,alto,"['Isolation Forest', 'Temporal']",True,False,False,False,True
2024-06-15,-3627.5202187682444,0.25,medio,['Temporal'],False,False,False,False,True
2024-06-16,10174.23436976922,0.25,medio,['Temporal'],False,False,False,False,True
2024-06-17,7108.112431632006,0.15,bajo,['Benford'],False,False,False,True,False
2024-06-18,15493.555853233745,0.0,,[],False,False,False,False,False
2024-06-19,10512.819831437777,0.0,,[],False,False,False,False,False
2024-06-20,20315.574907747483,0.0,,[],False,False,False,False,False
2024-06-21,10636.700933843043,0.0,,[],False,False,False,False,False
2024-06-22,-7089.603351592352,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-06-23,-8141.075819321119,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-06-24,23307.199651304865,0.0,,[],False,False,False,False,False
2024-06-25,-28481.978157290898,0.15,bajo,['IQR'],False,False,True,False,False
2024-06-26,64268.37983324752,0.3,medio,"['IQR', 'Benford']",False,False,True,True,False
2024-06-27,33839.40283486874,0.0,,[],False,False,False,False,False
2024-06-28,31219.917081125397,0.0,,[],False,False,False,False,False
2024-06-29,17497.806000817727,0.25,medio,['Temporal'],False,False,False,False,True
2024-06-30,-14912.502002574693,0.25,medio,['Temporal'],False,False,False,False,True
2024-07-01,15749.83800668217,0.0,,[],False,False,False,False,False
2024-07-02,23015.876670982172,0.0,,[],False,False,False,False,False
2024-07-03,18813.009843827334,0.0,,[],False,False,False,False,False
2024-07-04,25789.7051797967,0.0,,[],False,False,False,False,False
2024-07-05,19493.216182969772,0.0,,[],False,False,False,False,False
2024-07-06,-80538.23201603659,0.7,crítico,"['Z-score', 'IQR', 'Benford', 'Temporal']",False,True,True,True,True
2024-07-07,-6120.53432116978,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-07-08,43085.89851447064,0.0,,[],False,False,False,False,False
2024-07-09,41745.069593350854,0.0,,[],False,False,False,False,False
2024-07-10,16977.441112861885,0.0,,[],False,False,False,False,False
2024-07-11,17037.035155946563,0.0,,[],False,False,False,False,False
2024-07-12,39872.776150885475,0.0,,[],False,False,False,False,False
2024-07-13,-10511.597737726759,0.25,medio,['Temporal'],False,False,False,False,True
2024-07-14,-1047.9547345915053,0.25,medio,['Temporal'],False,False,False,False,True
2024-07-15,18580.061548917212,0.0,,[],False,False,False,False,False
2024-07-16,12065.857201131206,0.0,,[],False,False,False,False,False
2024-07-17,15410.935802120985,0.0,,[],False,False,False,False,False
2024-07-18,7359.054475440229,0.15,bajo,['Benford'],False,False,False,True,False
2024-07-19,31831.42791973264,0.0,,[],False,False,False,False,False
2024-07-20,27160.6519842973,0.25,medio,['Temporal'],False,False,False,False,True
2024-07-21,14466.90293437913,0.25,medio,['Temporal'],False,False,False,False,True
2024-07-22,30432.00631836839,0.0,,[],False,False,False,False,False
2024-07-23,-1702.4461375627434,0.0,,[],False,False,False,False,False
2024-07-24,26262.964570190183,0.0,,[],False,False,False,False,False
2024-07-25,-55481.66537328072,0.3,medio,"['IQR', 'Benford']",False,False,True,True,False
2024-07-26,11119.323080283742,0.0,,[],False,False,False,False,False
2024-07-27,2336.0819392180965,0.25,medio,['Temporal'],False,False,False,False,True
2024-07-28,-1988.1444784010382,0.25,medio,['Temporal'],False,False,False,False,True
2024-07-29,17210.83992670365,0.0,,[],False,False,False,False,False
2024-07-30,5553.078035162907,0.15,bajo,['Benford'],False,False,False,True,False
2024-07-31,18722.711653885868,0.0,,[],False,False,False,False,False
2024-08-01,25636.533277047303,0.0,,[],False,False,False,False,False
2024-08-02,26410.145912471296,0.0,,[],False,False,False,False,False
2024-08-03,19750.925585733647,0.25,medio,['Temporal'],False,False,False,False,True
2024-08-04,7072.61466845734,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-08-05,36503.85864186892,0.0,,[],False,False,False,False,False
2024-08-06,-1898.8131242528616,0.0,,[],False,False,False,False,False
2024-08-07,7524.233659902518,0.15,bajo,['Benford'],False,False,False,True,False
2024-08-08,17244.977287024478,0.0,,[],False,False,False,False,False
2024-08-09,34845.19236148432,0.0,,[],False,False,False,False,False
2024-08-10,5991.652871135313,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-08-11,-5815.368438666017,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-08-12,31359.80214536667,0.0,,[],False,False,False,False,False
2024-08-13,29299.530153603988,0.0,,[],False,False,False,False,False
2024-08-14,42903.65084116517,0.0,,[],False,False,False,False,False
2024-08-15,27543.115439669346,0.0,,[],False,False,False,False,False
2024-08-16,18685.845556017422,0.0,,[],False,False,False,False,False
2024-08-17,-131333.99804719677,0.85,crítico,"['Isolation Forest', 'Z-score', 'IQR', 'Temporal']",True,True,True,False,True
2024-08-18,-9417.29656600302,0.7,crítico,"['Isolation Forest', 'Benford', 'Temporal']",True,False,False,True,True
2024-08-19,12966.568505454336,0.0,,[],False,False,False,False,False
2024-08-20,32546.744103079833,0.0,,[],False,False,False,False,False
2024-08-21,38708.096541794876,0.0,,[],False,False,False,False,False
2024-08-22,13626.872527615316,0.0,,[],False,False,False,False,False
2024-08-23,21064.937385640726,0.0,,[],False,False,False,False,False
2024-08-24,-1691.5545481556728,0.25,medio,['Temporal'],False,False,False,False,True
2024-08-25,6293.529013982039,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-08-26,18245.18796993257,0.0,,[],False,False,False,False,False
2024-08-27,19789.97700432552,0.0,,[],False,False,False,False,False
2024-08-28,18120.64979404612,0.0,,[],False,False,False,False,False
2024-08-29,18636.132804060413,0.0,,[],False,False,False,False,False
2024-08-30,12311.091193055221,0.0,,[],False,False,False,False,False
2024-08-31,-129864.96094247887,0.85,crítico,"['Isolation Forest', 'Z-score', 'IQR', 'Temporal']",True,True,True,False,True
2024-09-01,11939.941953185575,0.55,alto,"['Isolation Forest', 'Temporal']",True,False,False,False,True
2024-09-02,970.7485278431923,0.15,bajo,['Benford'],False,False,False,True,False
2024-09-03,-1265.242619428609,0.0,,[],False,False,False,False,False
2024-09-04,38748.855473364485,0.0,,[],False,False,False,False,False
2024-09-05,48168.626967829216,0.0,,[],False,False,False,False,False
2024-09-06,8960.247982065423,0.15,bajo,['Benford'],False,False,False,True,False
2024-09-07,-4657.5585039165635,0.25,medio,['Temporal'],False,False,False,False,True
2024-09-08,4438.838539083783,0.25,medio,['Temporal'],False,False,False,False,True
2024-09-09,42393.58077519857,0.0,,[],False,False,False,False,False
2024-09-10,7559.344809789123,0.15,bajo,['Benford'],False,False,False,True,False
2024-09-11,12097.301421064956,0.0,,[],False,False,False,False,False
2024-09-12,40661.39056490583,0.0,,[],False,False,False,False,False
2024-09-13,18554.813306567994,0.0,,[],False,False,False,False,False
2024-09-14,5066.5917329186595,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-09-15,-4383.247163407519,0.25,medio,['Temporal'],False,False,False,False,True
2024-09-16,14186.689818752373,0.0,,[],False,False,False,False,False
2024-09-17,16198.31540244614,0.0,,[],False,False,False,False,False
2024-09-18,18249.66594606416,0.0,,[],False,False,False,False,False
2024-09-19,17160.99273574371,0.0,,[],False,False,False,False,False
2024-09-20,60964.77817116504,0.3,medio,"['IQR', 'Benford']",False,False,True,True,False
2024-09-21,9733.151166682153,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-09-22,6632.241076633858,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-09-23,27483.05357424369,0.0,,[],False,False,False,False,False
2024-09-24,-69935.85548287003,0.55,alto,"['IQR', 'Benford', 'Temporal']",False,False,True,True,True
2024-09-25,22105.289341882708,0.0,,[],False,False,False,False,False
2024-09-26,-40190.009620615114,0.15,bajo,['IQR'],False,False,True,False,False
2024-09-27,15038.834394856836,0.0,,[],False,False,False,False,False
2024-09-28,8576.337794711428,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-09-29,10233.032528671127,0.25,medio,['Temporal'],False,False,False,False,True
2024-09-30,37110.03269252427,0.0,,[],False,False,False,False,False
2024-10-01,54772.23840568106,0.44999999999999996,medio,"['Isolation Forest', 'Benford']",True,False,False,True,False
2024-10-02,24916.197615125915,0.0,,[],False,False,False,False,False
2024-10-03,7511.819367877273,0.15,bajo,['Benford'],False,False,False,True,False
2024-10-04,6861.018093908962,0.15,bajo,['Benford'],False,False,False,True,False
2024-10-05,9635.924523058726,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-10-06,8288.285503738036,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-10-07,28966.019027541814,0.0,,[],False,False,False,False,False
2024-10-08,11842.416164221268,0.0,,[],False,False,False,False,False
2024-10-09,47988.82608501847,0.0,,[],False,False,False,False,False
2024-10-10,22413.744207271367,0.0,,[],False,False,False,False,False
2024-10-11,-37548.79510661816,0.15,bajo,['IQR'],False,False,True,False,False
2024-10-12,12627.529487080228,0.25,medio,['Temporal'],False,False,False,False,True
2024-10-13,19233.051365179952,0.25,medio,['Temporal'],False,False,False,False,True
2024-10-14,37950.78650536913,0.0,,[],False,False,False,False,False
2024-10-15,3156.8106430092885,0.0,,[],False,False,False,False,False
2024-10-16,28970.866608316173,0.0,,[],False,False,False,False,False
2024-10-17,19405.506535056644,0.0,,[],False,False,False,False,False
2024-10-18,34675.0556256753,0.0,,[],False,False,False,False,False
2024-10-19,20454.78484528108,0.25,medio,['Temporal'],False,False,False,False,True
2024-10-20,-4695.733078368779,0.25,medio,['Temporal'],False,False,False,False,True
2024-10-21,23608.894448456944,0.0,,[],False,False,False,False,False
2024-10-22,20995.352143828415,0.0,,[],False,False,False,False,False
2024-10-23,16601.00335785559,0.0,,[],False,False,False,False,False
2024-10-24,31957.041334699166,0.0,,[],False,False,False,False,False
2024-10-25,16185.343818490546,0.0,,[],False,False,False,False,False
2024-10-26,5640.18646989984,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-10-27,29499.327557573844,0.25,medio,['Temporal'],False,False,False,False,True
2024-10-28,11197.561468328218,0.0,,[],False,False,False,False,False
2024-10-29,40566.76960810074,0.0,,[],False,False,False,False,False
2024-10-30,43102.94925729061,0.0,,[],False,False,False,False,False
2024-10-31,21620.63134965112,0.0,,[],False,False,False,False,False
2024-11-01,13891.889155861969,0.0,,[],False,False,False,False,False
2024-11-02,2624.7969362172007,0.25,medio,['Temporal'],False,False,False,False,True
2024-11-03,14565.6895673377,0.25,medio,['Temporal'],False,False,False,False,True
2024-11-04,32606.414048106846,0.0,,[],False,False,False,False,False
2024-11-05,47040.66318753476,0.0,,[],False,False,False,False,False
2024-11-06,42606.57120952014,0.0,,[],False,False,False,False,False
2024-11-07,35576.84929657573,0.0,,[],False,False,False,False,False
2024-11-08,71492.68339047738,0.3,medio,"['IQR', 'Benford']",False,False,True,True,False
2024-11-09,14839.128337091905,0.25,medio,['Temporal'],False,False,False,False,True
2024-11-10,21792.371700942494,0.25,medio,['Temporal'],False,False,False,False,True
2024-11-11,32781.09882462297,0.0,,[],False,False,False,False,False
2024-11-12,41958.21770393862,0.0,,[],False,False,False,False,False
2024-11-13,27762.986139236782,0.0,,[],False,False,False,False,False
2024-11-14,53161.54396828873,0.15,bajo,['Benford'],False,False,False,True,False
2024-11-15,328.5984180240339,0.3,medio,['Isolation Forest'],True,False,False,False,False
2024-11-16,-55856.73426118617,0.85,crítico,"['Isolation Forest', 'IQR', 'Benford', 'Temporal']",True,False,True,True,True
2024-11-17,53161.54396828873,0.7,crítico,"['Isolation Forest', 'Benford', 'Temporal']",True,False,False,True,True
2024-11-18,45805.45440146608,0.3,medio,['Isolation Forest'],True,False,False,False,False
2024-11-19,28327.996618306737,0.3,medio,['Isolation Forest'],True,False,False,False,False
2024-11-20,60572.602208226424,0.6,alto,"['Isolation Forest', 'IQR', 'Benford']",True,False,True,True,False
2024-11-21,40061.17106791216,0.3,medio,['Isolation Forest'],True,False,False,False,False
2024-11-22,25520.75774414709,0.3,medio,['Isolation Forest'],True,False,False,False,False
2024-11-23,15264.96546068714,0.55,alto,"['Isolation Forest', 'Temporal']",True,False,False,False,True
2024-11-24,10281.655396715763,0.25,medio,['Temporal'],False,False,False,False,True
2024-11-25,88481.149567599,0.6,alto,"['Isolation Forest', 'IQR', 'Benford']",True,False,True,True,False
2024-11-26,56455.11027942215,0.44999999999999996,medio,"['Isolation Forest', 'Benford']",True,False,False,True,False
2024-11-27,45951.02138720211,0.3,medio,['Isolation Forest'],True,False,False,False,False
2024-11-28,30036.440200976715,0.3,medio,['Isolation Forest'],True,False,False,False,False
2024-11-29,26562.933665714398,0.0,,[],False,False,False,False,False
2024-11-30,478.39048372353864,0.55,alto,"['Isolation Forest', 'Temporal']",True,False,False,False,True
2024-12-01,-1655.6191839660933,0.55,alto,"['Isolation Forest', 'Temporal']",True,False,False,False,True
2024-12-02,26617.907707529725,0.3,medio,['Isolation Forest'],True,False,False,False,False
2024-12-03,16781.80055741661,0.0,,[],False,False,False,False,False
2024-12-04,32774.38638403738,0.0,,[],False,False,False,False,False
2024-12-05,33985.33120809252,0.0,,[],False,False,False,False,False
2024-12-06,7669.893510809408,0.15,bajo,['Benford'],False,False,False,True,False
2024-12-07,20475.68113502937,0.25,medio,['Temporal'],False,False,False,False,True
2024-12-08,9663.814718827605,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-12-09,35143.98945259509,0.0,,[],False,False,False,False,False
2024-12-10,-90134.68167553557,1.0,crítico,"['Isolation Forest', 'Z-score', 'IQR', 'Benford', 'Temporal']",True,True,True,True,True
2024-12-11,132.40916780897533,0.3,medio,['Isolation Forest'],True,False,False,False,False
2024-12-12,19167.66134901152,0.0,,[],False,False,False,False,False
2024-12-13,35298.397343921235,0.0,,[],False,False,False,False,False
2024-12-14,-8972.57120122634,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-12-15,12596.298293034532,0.25,medio,['Temporal'],False,False,False,False,True
2024-12-16,34585.10401291146,0.3,medio,['Isolation Forest'],True,False,False,False,False
2024-12-17,31294.803562353758,0.0,,[],False,False,False,False,False
2024-12-18,19013.04594170467,0.0,,[],False,False,False,False,False
2024-12-19,46292.10986637596,0.0,,[],False,False,False,False,False
2024-12-20,-24413.444340477552,0.0,,[],False,False,False,False,False
2024-12-21,8055.675012580992,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-12-22,12098.71634759519,0.25,medio,['Temporal'],False,False,False,False,True
2024-12-23,37252.41792507056,0.0,,[],False,False,False,False,False
2024-12-24,18720.1142178961,0.0,,[],False,False,False,False,False
2024-12-25,21891.235080458624,0.0,,[],False,False,False,False,False
2024-12-26,28245.322791690858,0.0,,[],False,False,False,False,False
2024-12-27,94126.37516760174,0.6,alto,"['Isolation Forest', 'IQR', 'Benford']",True,False,True,True,False
2024-12-28,28927.538692050042,0.55,alto,"['Isolation Forest', 'Temporal']",True,False,False,False,True
2024-12-29,3804.7450214359997,0.25,medio,['Temporal'],False,False,False,False,True
